date,value
2000-12-01,346000.0
2001-01-01,340000.0
2001-02-01,371250.0
2001-03-01,387200.0
2001-04-01,396750.0
2001-05-01,394500.0
2001-06-01,397200.0
2001-07-01,398000.0
2001-08-01,398000.0
2001-09-01,435000.0
2001-10-01,480750.0
2001-11-01,447500.0
2001-12-01,416800.0
2002-01-01,408500.0
2002-02-01,399000.0
2002-03-01,415400.0
2002-04-01,429250.0
2002-05-01,409000.0
2002-06-01,387200.0
2002-07-01,386000.0
2002-08-01,393600.0
2002-09-01,409500.0
2002-10-01,407500.0
2002-11-01,392200.0
2002-12-01,414250.0
2003-01-01,395000.0
2003-02-01,411000.0
2003-03-01,427400.0
2003-04-01,436250.0
2003-05-01,424000.0
2003-06-01,421750.0
2003-07-01,411500.0
2003-08-01,400200.0
2003-09-01,395500.0
2003-10-01,382000.0
2003-11-01,363000.0
2003-12-01,358250.0
2004-01-01,360200.0
2004-02-01,360750.0
2004-03-01,342000.0
2004-04-01,348250.0
2004-05-01,336200.0
2004-06-01,349000.0
2004-07-01,343000.0
2004-08-01,340750.0
2004-09-01,337250.0
2004-10-01,334000.0
2004-11-01,328750.0
2004-12-01,325250.0
2005-01-01,343400.0
2005-02-01,311750.0
2005-03-01,332000.0
2005-04-01,323200.0
2005-05-01,327000.0
2005-06-01,325750.0
2005-07-01,324400.0
2005-08-01,315750.0
2005-09-01,382750.0
2005-10-01,352200.0
2005-11-01,317250.0
2005-12-01,316400.0
2006-01-01,295750.0
2006-02-01,290750.0
2006-03-01,301750.0
2006-04-01,303600.0
2006-05-01,332750.0
2006-06-01,305500.0
2006-07-01,318800.0
2006-08-01,314250.0
2006-09-01,316200.0
2006-10-01,315500.0
2006-11-01,326250.0
2006-12-01,324000.0
2007-01-01,317250.0
2007-02-01,322750.0
2007-03-01,309400.0
2007-04-01,320250.0
2007-05-01,304250.0
2007-06-01,315200.0
2007-07-01,313250.0
2007-08-01,320000.0
2007-09-01,313400.0
2007-10-01,328250.0
2007-11-01,336000.0
2007-12-01,348200.0
2008-01-01,338750.0
2008-02-01,346750.0
2008-03-01,363400.0
2008-04-01,359500.0
2008-05-01,366800.0
2008-06-01,383250.0
2008-07-01,398000.0
2008-08-01,433000.0
2008-09-01,464000.0
2008-10-01,475250.0
2008-11-01,519800.0
2008-12-01,564000.0
2009-01-01,572000.0
2009-02-01,644000.0
2009-03-01,659250.0
2009-04-01,627750.0
2009-05-01,612000.0
2009-06-01,598250.0
2009-07-01,566500.0
2009-08-01,559200.0
2009-09-01,547500.0
2009-10-01,525400.0
2009-11-01,494000.0
2009-12-01,485500.0
2010-01-01,479800.0
2010-02-01,485750.0
2010-03-01,470250.0
2010-04-01,469000.0
2010-05-01,459400.0
2010-06-01,460500.0
2010-07-01,459200.0
2010-08-01,475000.0
2010-09-01,453500.0
2010-10-01,446800.0
2010-11-01,426250.0
2010-12-01,420250.0
2011-01-01,426800.0
2011-02-01,401500.0
2011-03-01,406000.0
2011-04-01,420600.0
2011-05-01,422500.0
2011-06-01,418250.0
2011-07-01,412600.0
2011-08-01,409500.0
2011-09-01,417750.0
2011-10-01,402400.0
2011-11-01,389250.0
2011-12-01,377000.0
2012-01-01,377750.0
2012-02-01,363250.0
2012-03-01,366600.0
2012-04-01,381750.0
2012-05-01,373500.0
2012-06-01,379200.0
2012-07-01,372500.0
2012-08-01,373250.0
2012-09-01,381800.0
2012-10-01,368500.0
2012-11-01,401250.0
2012-12-01,359000.0
2013-01-01,353000.0
2013-02-01,353000.0
2013-03-01,351800.0
2013-04-01,347250.0
2013-05-01,347750.0
2013-06-01,344600.0
2013-07-01,346000.0
2013-08-01,333400.0
2013-09-01,314000.0
2013-10-01,358500.0
2013-11-01,328200.0
2013-12-01,346000.0
2014-01-01,326750.0
2014-02-01,335250.0
2014-03-01,321000.0
2014-04-01,322750.0
2014-05-01,313800.0
2014-06-01,313500.0
2014-07-01,301750.0
2014-08-01,302000.0
2014-09-01,295000.0
2014-10-01,288750.0
2014-11-01,291600.0
2014-12-01,284500.0
2015-01-01,287600.0
2015-02-01,301250.0
2015-03-01,284000.0
2015-04-01,286000.0
2015-05-01,274000.0
2015-06-01,273750.0
2015-07-01,277750.0
2015-08-01,275200.0
2015-09-01,269500.0
2015-10-01,267000.0
2015-11-01,268500.0
2015-12-01,271000.0
2016-01-01,279600.0
2016-02-01,266750.0
2016-03-01,263250.0
2016-04-01,266000.0
2016-05-01,274500.0
2016-06-01,265250.0
2016-07-01,259400.0
2016-08-01,263500.0
2016-09-01,251500.0
2016-10-01,255800.0
2016-11-01,245750.0
2016-12-01,252200.0
2017-01-01,244000.0
2017-02-01,230250.0
2017-03-01,233750.0
2017-04-01,227800.0
2017-05-01,239000.0
2017-06-01,248000.0
2017-07-01,250800.0
2017-08-01,247750.0
2017-09-01,272400.0
2017-10-01,242250.0
2017-11-01,247750.0
2017-12-01,242600.0
2018-01-01,235250.0
2018-02-01,221000.0
2018-03-01,225800.0
2018-04-01,221500.0
2018-05-01,221250.0
2018-06-01,222600.0
2018-07-01,209500.0
2018-08-01,208500.0
2018-09-01,205200.0
2018-10-01,213000.0
2018-11-01,225250.0
2018-12-01,224600.0
2019-01-01,222750.0
2019-02-01,222500.0
2019-03-01,211800.0
2019-04-01,209750.0
2019-05-01,218500.0
2019-06-01,225200.0
2019-07-01,208500.0
2019-08-01,211000.0
2019-09-01,209500.0
2019-10-01,212250.0
2019-11-01,224400.0
2019-12-01,236000.0
2020-01-01,215500.0
2020-02-01,210200.0
2020-03-01,2335250.0
2020-04-01,4663250.0
2020-05-01,2173400.0
2020-06-01,1490250.0
2020-07-01,1383500.0
2020-08-01,922400.0
2020-09-01,851750.0
2020-10-01,795400.0
2020-11-01,751250.0
2020-12-01,836750.0
2021-01-01,827800.0
2021-02-01,755000.0
2021-03-01,669250.0
2021-04-01,589000.0
2021-05-01,469200.0
2021-06-01,409500.0
2021-07-01,370000.0
2021-08-01,359750.0
2021-09-01,354750.0
2021-10-01,284400.0
2021-11-01,236500.0
2021-12-01,216250.0
2022-01-01,239200.0
2022-02-01,219000.0
2022-03-01,215000.0
2022-04-01,213000.0
2022-05-01,209750.0
2022-06-01,212500.0
2022-07-01,218200.0
2022-08-01,216500.0
2022-09-01,197500.0
2022-10-01,202600.0
2022-11-01,210750.0
2022-12-01,208200.0
2023-01-01,204500.0
2023-02-01,214750.0
2023-03-01,229000.0
2023-04-01,216400.0
2023-05-01,226000.0
2023-06-01,250750.0
2023-07-01,235200.0
2023-08-01,245000.0
2023-09-01,218600.0
2023-10-01,210250.0
2023-11-01,218000.0
2023-12-01,207800.0
2024-01-01,211500.0
2024-02-01,210000.0
2024-03-01,215200.0
2024-04-01,210250.0
2024-05-01,222000.0
2024-06-01,234800.0
2024-07-01,237250.0
2024-08-01,230600.0
2024-09-01,224500.0
2024-10-01,236250.0
2024-11-01,219200.0
2024-12-01,222750.0
2025-01-01,215000.0
2025-02-01,225000.0
2025-03-01,223000.0
2025-04-01,225750.0
2025-05-01,231800.0
2025-06-01,239000.0
2025-07-01,221500.0
2025-08-01,229600.0
2025-09-01,234000.0
2025-10-01,226750.0
2025-11-01,222400.0
2025-12-01,219250.0
2026-01-01,211800.0
2026-02-01,215750.0
2026-03-01,208000.0
2026-04-01,207750.0
2026-05-01,211600.0
2026-06-01,228000.0
